name,cust_id,email,invoice_date,gender,amount
Norma Fisher,7c65c1e5-82e2-4662-b728-b4fa42485e3a,thull@example.com,5/10/2024,Male,117.22
Norma Fisher,7c65c1e5-82e2-4662-b728-b4fa42485e3a,thull@example.com,11/21/2024,Male,29.97
Norma Fisher,7c65c1e5-82e2-4662-b728-b4fa42485e3a,thull@example.com,3/20/2024,Male,53.45
Charles Davis,e8e5216a-fcbd-44c3-8021-2ef7cca5a5a1,kyleblair@example.net,4/30/2024,Male,188.84
Charles Davis,e8e5216a-fcbd-44c3-8021-2ef7cca5a5a1,kyleblair@example.net,7/23/2024,Male,130
Eugene Bowman,7a1d5006-8d72-4104-b773-83c13458a748,qgrimes@example.org,10/20/2024,Male,10
Eugene Bowman,7a1d5006-8d72-4104-b773-83c13458a748,qgrimes@example.org,7/19/2024,Male,51.94
Nathan Ross,a0116be5-ab0c-4681-88f8-e3d0d3290a4c,salazarmaria@example.com,3/30/2024,Male,17.26
Nathan Ross,a0116be5-ab0c-4681-88f8-e3d0d3290a4c,salazarmaria@example.com,4/28/2024,Male,18.12
Nathan Ross,a0116be5-ab0c-4681-88f8-e3d0d3290a4c,salazarmaria@example.com,11/13/2024,Male,30.28
Nathan Ross,a0116be5-ab0c-4681-88f8-e3d0d3290a4c,salazarmaria@example.com,3/10/2024,Male,23.2
Nathan Ross,a0116be5-ab0c-4681-88f8-e3d0d3290a4c,salazarmaria@example.com,7/26/2024,Male,85.99
Nathan Ross,a0116be5-ab0c-4681-88f8-e3d0d3290a4c,salazarmaria@example.com,3/28/2024,Male,42.99
Nathan Ross,a0116be5-ab0c-4681-88f8-e3d0d3290a4c,salazarmaria@example.com,12/19/2024,Male,22.68
Nathan Ross,a0116be5-ab0c-4681-88f8-e3d0d3290a4c,salazarmaria@example.com,10/20/2024,Male,31.31
Bobby Flores,7d41e602-eece-428b-bf7b-118e820865d6,turnerkelly@example.org,7/18/2024,Female,28.04
Bobby Flores,7d41e602-eece-428b-bf7b-118e820865d6,turnerkelly@example.org,10/24/2024,Female,89.49
Bobby Flores,7d41e602-eece-428b-bf7b-118e820865d6,turnerkelly@example.org,7/16/2024,Female,16.36
Bobby Flores,7d41e602-eece-428b-bf7b-118e820865d6,turnerkelly@example.org,12/17/2024,Female,27.47
Bobby Flores,7d41e602-eece-428b-bf7b-118e820865d6,turnerkelly@example.org,8/8/2024,Female,10
